ID module;Nom module;Abr. Module;ID UE;Nom UE;Abréviation UE;Semestre;Semestre TP (temps partiel);Crédits ECTS;Poids CC;Poids ES;Poids UE;Remarques
360;Contexte et société 1 - Kontext und Gesellschaft 1;CeS1;3601;Allemand 1 - Französisch 1 -  Allemand 1- Französisch1;Lan1;S1;S3;2;1;1;2;
360;Contexte et société 1 - Kontext und Gesellschaft 1;CeS1;3602;English 1;Eng1;S1;S3;2;1;1;2;
361;Sciences du vivant 1 - Life Sciences 1;SV1;3611;Bases de Bio-Sciences - Grundlagen der Bio-Wissenschaften;BBS;S1;S1;4;1;1;2;
361;Sciences du vivant 1 - Life Sciences 1;SV1;3612;Bases de Chimie et Sciences expérimentales - Grundlagen der Chemie und der experimentellen Wissenschaften;Chi;S1;S1;6;1;1;2;
362; Laboratoire Chimie générale - Lab Allgemeine Chemie;LChi;3621; Laboratoire Chimie générale - Lab Allgemeine Chemie;LChi;S1;S3;2;1;-;1;
363;Sciences de l'ingénierie 1 - Ingenieurwissenschaften 1;SI1;3631;Fundamentals in Computer Science - Programmation - Fundamentals in Computer Science - Programmierung;Prog;S1;S1;4;1;1;2;
363;Sciences de l'ingénierie 1 - Ingenieurwissenschaften 1;SI1;3632;Analyse mathématique 1 - Mathematische Analysis 1;Ana1;S1;S1;5;1;1;2;
363;Sciences de l'ingénierie 1 - Ingenieurwissenschaften 1;SI1;3633;Algèbre - Algebra;ALi1;S1;S1;3;1;2;3;
364;Lab Méthodes et Techniques de Bio-Sciences - Lab-Methoden und Techniken der Bio-Wissenschaften;LMTBS;3641;Lab Méthodes et Techniques de Bio-Sciences - Lab-Methoden und Techniken der Bio-Wissenschaften;LMTBS;S2;S2;4;1;-;1;
365;Sciences du vivant 2 - Life Sciences 2;SV2;3651;Chimie pour les Sciences du vivant - Chemie der Life Sciences;ChS;S2;S2;6;1;1;2;
365;Sciences du vivant 2 - Life Sciences 2;SV2;3652;Méthodes Analytiques - Analytische Methoden;MAn;S2;S2;2;1;1;2;
366;Laboratoire Analytique - Lab Analytik;LAna;3661;Laboratoire Analytique - Lab Analytik;LAna;S2;S4;3;1;-;1;
367;Sciences de l'ingénierie 2 - Ingenieurwissenschaften 2;SI2;3671;Analyse mathématique 2 - Mathematische Analysis 2;Ana2;S2;S2;3;1;2;3;
367;Sciences de l'ingénierie 2 - Ingenieurwissenschaften 2;SI2;3672;Modélisation maths en Sciences du vivant - Mathematische Modelle in Life Sciences;Mod;S2;S2;4;1;2;3;
367;Sciences de l'ingénierie 2 - Ingenieurwissenschaften 2;SI2;3673;Data Engineering - Data Engineering;DEV;S2;S2;4;1;0;1;
368;Durabilité et Sciences du vivant - Nachhaltigkeit in Life Sciences;Dur;3681;Durabilité et Sciences du vivant - Nachhaltigkeit in Life Sciences;Dur;S1;S3;2;1;-;1;
369;Contexte et société 2 - Kontext und Gesellschaft 2;CeS2;3691;Allemand 2 - Französisch 2 - Allemand 2 - Französisch 2;Lan2;S2;S4;2;1;1;2;
369;Contexte et société 2 - Kontext und Gesellschaft 2;CeS2;3692;English 2;Eng2;S2;S4;2;1;1;2;
370;Allemand - Französisch ou English - Allemand - Französisch oder English;Lan3;3701;Allemand - Französisch ou English - Allemand - Französisch oder English;Lan3;S3;S5;2;1;-;1;
371;Allemand - Französisch ou English - Allemand - Französisch oder English;Lan4;3711;Allemand - Französisch ou English - Allemand - Französisch oder English;Lan4;S4;S6;2;1;-;1;
372;Sciences de l'ingénierie 3 - Ingenieurwissenschaften 3;SI3;3721;Statistique et Plan d'expériences - Statistik und Versuchsplanung;SPE;S3;S3;4;1;1;2;
372;Sciences de l'ingénierie 3 - Ingenieurwissenschaften 3;SI3;3722;Systèmes et modèles de Physique - Systeme und Modelle der Physik;Phy;S3;S3;4;1;1;2;
373;Bio-Sciences et Biochimie - Bio-Wissenschaften und Biochemie;BSCh;3731;Bio-Sciences et Biochimie - Bio-Wissenschaften und Biochemie;BSCh;S3;S5;5;1;1;2;
374;Maths appliquées en Sciences du vivant - Angewandte Mathematik in Life Sciences;Map;3741;Maths appliquées en Sciences du vivant - Angewandte Mathematik in Life Sciences;Map;S3;S3;2;1;-;1;
375;Rapports et présentations scientifiques - Wissenschaftliche Berichte und Präsentationen;Rap;3751;Rapports et présentations scientifiques - Wissenschaftliche Berichte und Präsentationen;Rap;S3;S5;2;1;-;1;acquis-na
376;Data Science - Data Science;DSc;3761;Data Science - Data Science;DSc;S4;S4;2;1;1;2;
377;Génie des procédés et projet lab - Verfahrenstechnik und Lab Projekt;GeP;3771;Génie des procédés et projet lab - Verfahrenstechnik und Lab Projekt;GeP;S4;S4;5;1;-;1;
378;Management de projet et communication - Projektmanagement und Kommunikation;MPr;3781;Management de projet et communication - Projektmanagement und Kommunikation;MPr;S4;S4;2;1;-;1;
379;Innovation and Entrepreneurship;InE;3791;Innovation and Entrepreneurship;InE;S5;S7;4;1;-;1;
380;Microbiologie et Foodomics - Microbiologie und Foodomics;MbFo;3801;Microbiologie et Foodomics - Microbiologie und Foodomics;MbFo;S3;S5;6;1;1;2;
381;Chimie et physique des aliments - Lebensmittelchemie und -physik;FCP;3811;Chimie et physique des aliments - Lebensmittelchemie und -physik;FCP;S3;S5;5;1;1;2;
382;Systèmes alimentaires durables  - Nachhaltige Lebensmittel-Systeme;SFS;3821;Systèmes alimentaires durables  - Nachhaltige Lebensmittel-Systeme;SFS;S4;S6;2;1;-;1;
383;Science et technologie des aliments - Lebensmittelwissenschaften und Technologien;FST;3831;Science et technologie des aliments - Lebensmittelwissenschaften und Technologien;FST;S4;S6;5;1;1;2;
384;Biotechnologie alimentaire  - Lebensmittel-Biotechnologie;Fbio;3841;Biotechnologie alimentaire  - Lebensmittel-Biotechnologie;Fbio;S4;S6;4;1;1;2;
385;Projet lab : Chimie et physique des aliments - Projekt-Lab: Lebensmittelchemie und -physik;PLFCP;3851;Projet lab : Chimie et physique des aliments - Projekt-Lab: Lebensmittelchemie und -physik;PLFCP;S4;S6;6;1;-;1;
386;Analyse sensorielle - Sensorische Analyse;SAn;3861;Analyse sensorielle - Sensorische Analyse;SAn;S4;S6;2;1;-;1;
387;Health and Nutrition;Hnu;3871;Health and Nutrition;Hnu;S5;S7;2;1;1;2;
388;Food Safety and Quality;FSQ;3881;Food Safety and Quality;FSQ;S5;S7;4;1;1;2;
389;Smart Food Processing 1;SFP1;3891;Smart Food Processing 1;SFP1;S5;S7;10;1;1;2;
390;Innovative Food Concepts ;IFC;3901;Innovative Food Concepts ;IFC;S5;S7;4;1;-;1;
391;Smart Food Processing 2;SFP2;3911;Smart Food Processing 2;SFP2;S6;S8;7;1;-;1;
392;Claims Communication and Labelling;CCL;3921;Claims Communication and Labelling;CCL;S6;S8;2;1;-;1;
393;Packaging;Pac;3931;Packaging;Pac;S6;S8;2;1;-;1;
394;Project: Life Siences Application Business case;PLBC;3941;Project: Life Siences Application Business case;PLBC;S6;S8;3;1;-;1;
397;Flavour Technology and Sensory perception;FTSe;3971;Flavour Technology and Sensory perception;FTSe;S5;S7;2;1;-;1;
398;Food Sensitivity and Toxicology;Tox;3981;Food Sensitivity and Toxicology;Tox;S5;S7;2;1;-;1;
410;Biotechnologie industrielle - Industrielle Biotechnologie;IBio;4101;Biotechnologie industrielle - Industrielle Biotechnologie;IBio;S3;S5;3;1;-;1;
411;Biomolécules et diagnostic - Biomoleküle und Diagnostik;BiD;4111;Biomolécules et diagnostic - Biomoleküle und Diagnostik;BiD;S3;S5;4;1;1;2;
412;Biologie moléculaire - Molekularbiologie;MoB;4121;Biologie moléculaire - Molekularbiologie;MoB;S3;S5;4;1;1;2;
413;Projet lab : Biologie moléculaire et bioinformatique - Projekt-Lab: Molekularbiologie und Bioinformatik;PLMoB;4131;Projet lab : Biologie moléculaire et bioinformatique - Projekt-Lab: Molekularbiologie und Bioinformatik;PLMoB;S4;S6;6;1;-;1;
414;Génie des bioprocédés 1 et laboratoire - Bioprozesstechnik 1 und Labor;BiE1;4141;Génie des bioprocédés 1 et laboratoire - Bioprozesstechnik 1 und Labor;BiE1;S4;S6;4;1;1;2;
415;Biologie cellulaire et immunologie - Zellbiologie und Immunologie;CBI;4151;Biologie cellulaire et immunologie - Zellbiologie und Immunologie;CBI;S4;S6;5;1;1;2;
416;Laboratoire Bioanalytique - Labor Bioanalytik;LBia;4161;Laboratoire Bioanalytique - Labor Bioanalytik;LBia;S4;S6;4;1;-;1;
417;Bioprocess Engineering 2;BiE2;4171;Bioprocess Engineering 2;BiE2;S5;S7;4;1;1;2;
418;Lab Bioprocess and Fermentation;LBiF;4181;Lab Bioprocess and Fermentation;LBiF;S5;S7;3;1;-;1;
419;Biopharmaceutical Development and Manufacturing with Mammalian cells;BDMam;4191;Biopharmaceutical Development and Manufacturing with Mammalian cells;BDMam;S5;S7;4;1;2;3;
420;Industrial Purification of Biomolecules 1;IPB1;4201;Industrial Purification of Biomolecules 1;IPB1;S5;S7;5;1;1;2;
421;Lab Industrial Purification of Biomolecules 1;LIPB1;4211;Lab Industrial Purification of Biomolecules 1;LIPB1;S5;S7;3;1;-;1;
422;Biosafety and Validation of Production Plants;BVP;4221;Biosafety and Validation of Production Plants;BVP;S5;S7;3;1;-;1;
423;Biopharmaceutical Development and Production (Dual-Study);BDP;4231;Biopharmaceutical Development and Production (Dual-Study);BDP;S6;S8;4;1;-;1;
424;Lab Biopharmaceutical Development and Manufacturing with Mammalian cells;LBDMam;4241;Lab Biopharmaceutical Development and Manufacturing with Mammalian cells;LBDMam;S6;S8;3;1;-;1;
425;Industrial Purification of Biomolecules 2;IPB2;4251;Industrial Purification of Biomolecules 2;IPB2;S6;S8;2;1;-;1;
426;Lab project: Production, Purification and Analytics;LIPB2;4261;Lab project: Production, Purification and Analytics;LIPB2;S6;S8;2;1;-;1;
427;Project: Life Sciences Application;PLSAB;4271;Project: Life Sciences Application;PLSAB;S6;S8;3;1;-;1;
430;Measurement and Control Technology;MCT;4301;Measurement and Control Technology;MCT;S5;S7;2;1;-;1;
433;DNA sequencing in Life Sciences ;DNA;4331;DNA sequencing in Life Sciences ;DNA;S5;S7;2;1;-;1;
440;Chimie organique - Organische Chemie;ChO;4401;Chimie organique - Organische Chemie;ChO;S3;S5;4;1;1;2;
441;Analyse instrumentale 1 - Instrumentalanalytik 1;AnI1;4411;Analyse instrumentale 1 - Instrumentalanalytik 1;AnI1;S3;S5;7;1;1;2;
442;Chimie organique et minérale - Organische und Anorganische Chemie;ChM;4421;Chimie organique et minérale - Organische und Anorganische Chemie;ChM;S4;S6;5;1;1;2;
443;Analyse instrumentale 2 - Instrumentalanalytik 2;Anl2;4431;Analyse instrumentale 2 - Instrumentalanalytik 2;Anl2;S4;S6;6;1;1;2;
444;Project lab : Chimie Organique et Analytique - Projekt-Lab: Organische Chemie und Analytik;PLChO;4441;Project lab : Chimie Organique et Analytique - Projekt-Lab: Organische Chemie und Analytik;PLChO;S4;S6;6;1;-;1;
445;Bioanalytical Chemistry;BiaCh;4451;Bioanalytical Chemistry;BiaCh;S5;S7;5;1;1;2;
446;Lab Bioanalytical Chemistry;LBAC;4461;Lab Bioanalytical Chemistry;LBAC;S5;S7;6;1;-;1;
449;Chemical Engineering;ChE;4491;Chemical Engineering;ChE;S5;S7;5;1;1;2;
450;Lab project: Advanced Bio-Analytics;LBioA;4501;Lab project: Advanced Bio-Analytics;LBioA;S6;S8;3;1;-;1;
451;Chemometrics and Data Analysis;ChDA;4511;Chemometrics and Data Analysis;ChDA;S6;S8;2;1;-;1;
452;Proteomics and Chemical Safety Industrial Chemistry and Biotechnology;PROC;4521;Proteomics and Chemical Safety Industrial Chemistry and Biotechnology;PROC;S6;S8;2;1;-;1;
453;Project: Life Sciences Application;PLSAC;4531;Project: Life Sciences Application;PLSAC;S6;S8;3;1;-;1;
454;Thermodynamique chimique - Chemische Thermodynamik;Ther;4541;Thermodynamique chimique - Chemische Thermodynamik;Ther;S4;S6;2;1;1;2;
455;Analytics of food products ;AFP;4551;Analytics of food products ;AFP;S5;S7;2;1;-;1;
456;Method Development and Green Analytical Chemistry;MDV;4561;Method Development and Green Analytical Chemistry;MDV;S5;S7;3;1;-;1;
457;Bioorganic Chemistry;BOC;4571;Bioorganic Chemistry;BOC;S5;S7;5;1;1;2;
458;Chemistry of biomolecules;Chcul ;4581;Chemistry of biomolecules;Chcul ;S5;S7;2;1;0;1;
459;Analytical chemistry in industry: From raw material to final product (Dual-Study);ASiI;4591;Analytical chemistry in industry: From raw material to final product (Dual-Study);ASiI;S6;S8;2;1;-;1;
